NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9455,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9430,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.031,0.0,1.0
MATUTINO,9010,PARTICULAR,SECUNDARIA,GENERAL,0.0111,0.0337,0.0,0.7436
MATUTINO,9080,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0202,0.0202,1.0
MATUTINO,9387,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9066,PARTICULAR,SECUNDARIA,GENERAL,0.098,0.0,0.0,1.0
MATUTINO,9009,PARTICULAR,SECUNDARIA,GENERAL,0.0862,0.0377,0.0,1.0
MATUTINO,9049,PARTICULAR,SECUNDARIA,GENERAL,0.0136,0.0092,0.0,0.9857
MATUTINO,9455,PARTICULAR,SECUNDARIA,GENERAL,0.0177,0.027000000000000003,0.009000000000000001,1.0
MATUTINO,9427,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0429,0.0214,0.98
MATUTINO,9010,PARTICULAR,SECUNDARIA,GENERAL,0.0108,0.0072,0.0072,0.9670000000000001
MATUTINO,9346,ESTATAL,SECUNDARIA,GENERAL,0.0565,0.0919,0.0641,0.9758
VESPERTINO,9346,ESTATAL,SECUNDARIA,GENERAL,0.0025,0.1637,0.0882,0.6136
MATUTINO,9424,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8846
VESPERTINO,9066,PARTICULAR,SECUNDARIA,GENERAL,0.0833,0.0,0.0,0.8333
MATUTINO,9368,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.1,0.04,1.0
MATUTINO,9450,PARTICULAR,SECUNDARIA,GENERAL,0.0056,0.0678,0.0028,1.0
MATUTINO,9418,PARTICULAR,SECUNDARIA,GENERAL,0.0091,0.0,0.0,1.0
MATUTINO,9000,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.1026,0.0513,0.6923
VESPERTINO,9067,PARTICULAR,SECUNDARIA,TECNICA,0.0189,0.0,0.0,0.0
VESPERTINO,9021,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.0
MATUTINO,9003,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.0
MATUTINO,9000,FEDERAL,BACHILLERATO,GENERAL,0.0893,0.0294,0.0294,0.7317
VESPERTINO,9000,FEDERAL,PROFESIONAL TECNICO,PROFESIONAL MEDIO,0.0417,0.1304,0.0683,0.5
MATUTINO,9429,FEDERAL,BACHILLERATO,TECNOLOGICO,0.0195,0.2397,0.1557,0.7012
VESPERTINO,9429,FEDERAL,BACHILLERATO,TECNOLOGICO,0.1105,0.2485,0.1365,0.536
MATUTINO,9010,FEDERAL,BACHILLERATO,TECNOLOGICO,0.1274,0.5344,0.303,0.5449
